case_id,method,dice_recomputed,dice_csv,dice_abs_diff,jaccard_recomputed,jaccard_csv,jaccard_abs_diff,vol_gt_recomputed,vol_gt_csv,vol_pred_recomputed,vol_pred_csv
BraTS-GLI-02118-100,sustraccion,0.621823212299267,0.6218,2.321229926693924e-05,0.4511926320691261,0.4512,7.367930873913853e-06,45844,45844,94392,94392
BraTS-GLI-02118-100,variational_spline,0.8285566841621669,0.8286,4.3315837833124426e-05,0.7072955839690556,0.7073,4.41603094447629e-06,45844,45844,33605,33605
BraTS-GLI-02139-100,bspline,0.7808076923076923,0.7808,7.692307692264144e-06,0.6404302974857251,0.6404,3.029748572513924e-05,29946,29946,22054,22054
BraTS-GLI-02139-100,fast_marching,0.1278012391726519,0.1278,1.2391726519067614e-06,0.06826264488935722,0.0683,3.7355110642775524e-05,29946,29946,2495,2495
BraTS-GLI-02139-100,gmm_2d,0.3506533399494341,0.3507,4.666005056591649e-05,0.2126013581272743,0.2126,1.3581272742813066e-06,29946,29946,139338,139338
BraTS-GLI-02139-100,gmm_T1c,0.7805262752942986,0.7805,2.6275294298661045e-05,0.6400517366478438,0.6401,4.8263352156241446e-05,29946,29946,22042,22042
BraTS-GLI-02139-100,level_set,0.7808076923076923,0.7808,7.692307692264144e-06,0.6404302974857251,0.6404,3.029748572513924e-05,29946,29946,22054,22054
BraTS-GLI-02139-100,otsu_T1c,0.6508897037320316,0.6509,1.029626796844596e-05,0.4824584806242913,0.4825,4.1519375708676254e-05,29946,29946,14507,14507
BraTS-GLI-02139-100,rango_doble,0.22813032063379274,0.2281,3.032063379274086e-05,0.1287511848588065,0.1288,4.881514119350894e-05,29946,29946,186781,186781
BraTS-GLI-02139-100,spline,0.5834713625664719,0.5835,2.863743352810033e-05,0.411902270908979,0.4119,2.2709089790295955e-06,29946,29946,15938,15938
BraTS-GLI-02139-100,sustraccion,0.4733036983999125,0.4733,3.698399912488437e-06,0.31001823866597183,0.31,1.8238665971836987e-05,29946,29946,70611,70611
BraTS-GLI-02139-100,variational_spline,0.7808076923076923,0.7808,7.692307692264144e-06,0.6404302974857251,0.6404,3.029748572513924e-05,29946,29946,22054,22054
BraTS-GLI-02143-100,bspline,0.44421788086420677,0.4442,1.788086420678736e-05,0.2855270512499277,0.2855,2.7051249927745324e-05,50441,50441,16256,16256
BraTS-GLI-02143-100,fast_marching,0.1954608141930431,0.1955,3.918580695691509e-05,0.10831619270469685,0.1083,1.6192704696854632e-05,50441,50441,8292,8292
BraTS-GLI-02143-100,gmm_2d,0.5295960483349633,0.5296,3.951665036638907e-06,0.3601704468593588,0.3602,2.9553140641236375e-05,50441,50441,70217,70217
BraTS-GLI-02143-100,gmm_T1c,0.3955274110908117,0.3955,2.7411090811668704e-05,0.24651553029005857,0.2465,1.5530290058574092e-05,50441,50441,22358,22358
BraTS-GLI-02143-100,level_set,0.3957477784339848,0.3957,4.777843398479087e-05,0.2466867573028321,0.2467,1.3242697167903383e-05,50441,50441,22368,22368
BraTS-GLI-02143-100,otsu_T1c,0.4101201290777449,0.4101,2.012907774490147e-05,0.2579566774688726,0.258,4.332253112743212e-05,50441,50441,23313,23313
BraTS-GLI-02143-100,rango_doble,0.4700809583872778,0.4701,1.9041612722203727e-05,0.30725871474333366,0.3073,4.128525666635685e-05,50441,50441,129528,129528
BraTS-GLI-02143-100,spline,0.3649004559485713,0.3649,4.559485712873901e-07,0.22316711987113982,0.2232,3.288012886018543e-05,50441,50441,20181,20181
BraTS-GLI-02143-100,sustraccion,0.6096981682143913,0.6097,1.831785608752412e-06,0.4385365496004106,0.4385,3.654960041060695e-05,50441,50441,47660,47660
BraTS-GLI-02143-100,variational_spline,0.36312813468357663,0.3631,2.813468357665272e-05,0.22184273697769277,0.2218,4.273697769277551e-05,50441,50441,12165,12165
BraTS-GLI-02151-100,bspline,0.4404723048862436,0.4405,2.7695113756387446e-05,0.2824395528635446,0.2824,3.955286354462295e-05,39885,39885,12200,12200
BraTS-GLI-02151-100,fast_marching,0.2428399781540142,0.2428,3.997815401421412e-05,0.13820026357013204,0.1382,2.6357013205302593e-07,39885,39885,5890,5890
BraTS-GLI-02151-100,gmm_2d,0.22758475468519687,0.2276,1.5245314803125076e-05,0.12840374471320629,0.1284,3.7447132062995436e-06,39885,39885,55095,55095
BraTS-GLI-02151-100,gmm_T1c,0.5656522206688891,0.5657,4.77793311108865e-05,0.39436197330934175,0.3944,3.802669065822162e-05,39885,39885,15909,15909
BraTS-GLI-02151-100,level_set,0.5661661948615043,0.5662,3.380513849571276e-05,0.3948617983705703,0.3949,3.820162942969052e-05,39885,39885,15929,15929
BraTS-GLI-02151-100,otsu_T1c,0.8212118547181426,0.8212,1.1854718142578768e-05,0.6966577141151895,0.6967,4.22858848104779e-05,39885,39885,28341,28341
BraTS-GLI-02151-100,rango_doble,0.23493934035044364,0.2349,3.9340350443645145e-05,0.1331055332665392,0.1331,5.5332665392093805e-06,39885,39885,219101,219101
BraTS-GLI-02151-100,spline,0.5656174506181612,0.5656,1.7450618161163334e-05,0.394328173374613,0.3943,2.817337461302749e-05,39885,39885,16411,16411
BraTS-GLI-02151-100,sustraccion,0.588122824506071,0.5881,2.28245060710508e-05,0.41655381552600207,0.4166,4.6184473997956665e-05,39885,39885,82501,82501
BraTS-GLI-02151-100,variational_spline,0.7432533561403241,0.7433,4.66438596758989e-05,0.5914106552595761,0.5914,1.065525957610891e-05,39885,39885,25592,25592
BraTS-GLI-02156-100,bspline,0.2994088221919054,0.2994,8.822191905399901e-06,0.17606161086747246,0.1761,3.838913252754428e-05,34966,34966,195929,195929
BraTS-GLI-02156-100,fast_marching,0.15587467362924282,0.1559,2.5326370757194905e-05,0.08452498938128274,0.0845,2.498938128273065e-05,34966,34966,3334,3334
BraTS-GLI-02156-100,gmm_2d,0.4285324804000452,0.4285,3.248040004522057e-05,0.27269572870913417,0.2727,4.271290865831556e-06,34966,34966,115417,115417
BraTS-GLI-02156-100,gmm_T1c,0.008060010100832751,0.0081,3.9989899167248294e-05,0.00404631170703127,0.004,4.631170703126974e-05,34966,34966,933271,933271
BraTS-GLI-02156-100,level_set,0.2994088221919054,0.2994,8.822191905399901e-06,0.17606161086747246,0.1761,3.838913252754428e-05,34966,34966,195929,195929
BraTS-GLI-02156-100,otsu_T1c,0.08278339156246202,0.0828,1.660843753797936e-05,0.04317894556000507,0.0432,2.1054439994928897e-05,34966,34966,730115,730115
BraTS-GLI-02156-100,rango_doble,0.22482317114697956,0.2248,2.3171146979555912e-05,0.1266483245459229,0.1266,4.832454592290647e-05,34966,34966,273383,273383
