prior_stage,method,construction_type,mode,threshold,absent_flood_rate,absent_median_fp_vox,large_lesionwise,large_detection_ratio,keeps_large_detection_90pct,source
P2b_soft_shape,otsu_T1c,intensity/statistical,shape_score_threshold,0.01,0.7878787878787878,13772.0,0.1650376673385514,0.9364475338184004,True,phase2/p2_soft_shape_sweep/p2_soft_shape_sweep_summary.csv
P2b_soft_shape,otsu_T1c,intensity/statistical,shape_score_threshold,0.02,0.7272727272727273,13510.0,0.1362656874946825,0.7731911693631691,False,phase2/p2_soft_shape_sweep/p2_soft_shape_sweep_summary.csv
P2b_soft_shape,otsu_T1c,intensity/statistical,shape_score_threshold,0.05,0.6666666666666666,12156.0,0.113026504021357,0.641328689709317,False,phase2/p2_soft_shape_sweep/p2_soft_shape_sweep_summary.csv
P2b_soft_shape,otsu_T1c,intensity/statistical,shape_score_threshold,0.1,0.1212121212121212,0.0,0.0794274405959774,0.4506827566281052,False,phase2/p2_soft_shape_sweep/p2_soft_shape_sweep_summary.csv
P2b_soft_shape,otsu_T1c,intensity/statistical,shape_score_threshold,0.2,0.0,0.0,0.0772629117264467,0.4384009075542647,False,phase2/p2_soft_shape_sweep/p2_soft_shape_sweep_summary.csv
P2b_soft_shape,otsu_T1c,intensity/statistical,shape_score_threshold,0.3,0.0,0.0,0.0772629117264467,0.4384009075542647,False,phase2/p2_soft_shape_sweep/p2_soft_shape_sweep_summary.csv
P2b_soft_shape,otsu_T1c,intensity/statistical,shape_score_threshold,0.4,0.0,0.0,0.0611444168231066,0.346942242120429,False,phase2/p2_soft_shape_sweep/p2_soft_shape_sweep_summary.csv
P2b_soft_shape,otsu_T1c,intensity/statistical,shape_score_threshold,0.5,0.0,0.0,0.0131035464651444,0.074351413040682,False,phase2/p2_soft_shape_sweep/p2_soft_shape_sweep_summary.csv
P2b_soft_shape,otsu_T1c,intensity/statistical,shape_score_threshold,0.55,0.0,0.0,0.0131035464651444,0.074351413040682,False,phase2/p2_soft_shape_sweep/p2_soft_shape_sweep_summary.csv
P2b_soft_shape,sustraccion,intensity/statistical,shape_score_threshold,0.0,0.9393939393939394,76152.0,0.0086725241888095,0.0492091533984861,False,phase2/p2_soft_shape_sweep/p2_soft_shape_sweep_summary.csv
P2b_soft_shape,sustraccion,intensity/statistical,shape_score_threshold,0.001,0.8484848484848485,53622.0,0.0085377570186906,0.0484444650328982,False,phase2/p2_soft_shape_sweep/p2_soft_shape_sweep_summary.csv
P2b_soft_shape,sustraccion,intensity/statistical,shape_score_threshold,0.005,0.7272727272727273,12463.0,0.0074843104939645,0.0424670574749885,False,phase2/p2_soft_shape_sweep/p2_soft_shape_sweep_summary.csv
P2b_soft_shape,sustraccion,intensity/statistical,shape_score_threshold,0.01,0.7272727272727273,12463.0,0.006716142965321,0.038108364096937,False,phase2/p2_soft_shape_sweep/p2_soft_shape_sweep_summary.csv
